comment,emo
开上红旗HS5去公园相信回头率也是很高的,正向
大灯果然让车头充满攻击性霸气之感都体现出来了,正向
HUD和仪表盘居然也能显示路线这么说比手机方便多了,正向
红旗标的人独具匠心了我个人喜欢这种设计,正向
这美景加上靓车越看越喜欢,正向
红旗HS5的这个后视镜屏幕上的画面确实很清晰看得一清二楚的,正向
红旗HS5后视镜还有自动防炫目这功能可真不一般啊,正向
红旗HS5进气格栅大嘴加上别具风格的大灯都是其它车无法相比的,正向
开始家里说买锐界我也挺心动的不过我又看到了红旗HS7感觉锐界相比红旗HS7档次感略低一些红旗HS7虽然稍微贵一点但是整体的外观内饰的做工用料水平还是HS7更用心质感更强高配的话还有空气悬挂后排家人坐会更舒服另外一些实用配置上也要比锐界强上不少大家说我是不是该加点钱上HS7,正向
最近一直在选车在网上看着红旗HS7不错就去店里看了实车很喜欢这车的前脸还有车身质感给人的感觉就是稳重低调适合我这40多岁的中年人尤其是红旗的车标如今看着依然有种情怀涌上心头,正向
销售说这车的发动机是30T的V6听着就感觉挺厉害的目前已经放进备选名单了就等着看能不能试驾一次了,正向
红旗HS7全系标配自动空调很好省得自己动手去调了比起手动的是省事尤其分区设计挺好的后排有独立空调自己想要的温度高低都可以调出来方便自己也不影响他人这个配置挺不错,正向
皮质感很好的感觉了,正向
试驾了一下动力充沛方向很轻指向感不错,正向
试驾车刚开了90多公里显示平均油耗30Lkm,正向
内饰处理档次感一般皮质材料较少大量采用软塑材料代替方向盘有点单薄与整车风格不搭且钥匙的档次5万以下车才有,正向
外观整体感觉不错,正向
后备箱地板太高存储空间大受影响,负向
竟然用我偶像的歌曲做bgm!,中性
"视频拍摄得很不错,非常幽默的方式介绍了本次产品的重点!!",正向
"现在的车展除了不少的新车,现场还有各种奇奇怪怪的好玩的东西和人......,看车模的比看车的多,哈哈哈",中性
"优惠1.6加上免贷款服务费,2w是有了吧",正向
我韵动裸车151800,中性
那你等20款吧   哈哈,中性
GPS 还要另算啊,中性
我们保定就一家店,负向
"at 是电量过低,请立即启动发动机",中性
"送行车记录仪,全车膜,全车脚垫,红旗U盘,第二年可以不在四儿子店买保险",正向
at 拿u盘  还不如要个雨伞,中性
"首付8万吧好像,加上税什么的10",中性
我去年韵动落地21W,中性
裸车17.58,中性
就是细节问题,正向
"这么说吧,用的阿特兹的底盘",中性
60码急转弯没问题,正向
at 阿特兹高速飘,负向
不知道今年车会不会去掉那个没用大灯散热孔,负向
at 你灵动谈了多少,中性
帕沙特大气,正向
迈腾14万诶,中性
"有帕萨特的钱,不如搞h7",正向
迈腾肯定好看撒,正向
实际是优惠一万3,中性
这么算是便宜了2万,中性
我把购置税放低了,中性
这个是全款的,中性
按揭便宜一万6,中性
油耗高,负向
at 裸车优惠16000,中性
暂时开的感觉就是油门踏板反映慢,负向
高速还要13个,中性
双离合不买,负向
购置税14600左右,中性
高速十三个?,中性
新车油耗都高的吧,负向
保险5800,中性
ct5优惠玩25落地太棒了,正向
"at at 你说的是啥配置,来说说",中性
一个月加油我估计都要去了2000多,负向
我都不敢加油门了,负向
合资连这个配置都买不到吧,正向
能多个全景天窗就好了,中性
这油耗显示准确吗?,负向
全景天窗更不实用....,中性
个人感觉不安全,负向
"at 等一年优惠艳差不多,",中性
全景天窗最容易漏水的玩意,中性
at 低配指导价应该在28万,正向
是不是显示不正常,负向
at 全景天窗掉点东西就废,中性
维修起来还特么贵,负向
你是不是停车开空调时间很长?那样油耗高,中性
咯吱  咯吱   速度慢没有  一到60  就开始有了,负向
合资这个价格能买到啥,正向
那样油耗高的很,负向
22个油真的不要太高,负向
停车就熄火,负向
反正我感觉不安全,负向
我以为22个油哈哈,中性
同级别合资乞丐版,正向
mkZ也蛮好看的,正向
"所以呀,不要抱怨买的配置少",负向
那个配置高,正向
"合资现在减配挺严重好像,特别大众",中性
大众出了名没有配置,负向
那个合资同价位买这么多配置at,正向
动力还有配置国产车真的牛皮了现在,正向
"但是人家双离合,发动机,爆发力强他们主要卖发动机",正向
我不需要爆发,正向
十多万的大众都没中控台显示屏   怕了怕了表情,负向
表情迈腾不更是没有,负向
我也是看中音响了,正向
"at 买辆低配的gl8吧,改个星空顶,木地板,商务座椅,自动门舒服的",中性
最起码该有的都有了后期不用加装表情,正向
at 你需要加装大门,中性
够用了够用了,正向
音响真的嗨炸了表情,正向
"全景天窗谁都喜欢,就怕过两年漏水",中性
儿子店都处理不了,负向
油耗低又耐操,正向
"at 刚上市就别买了,等一年优惠巨大",中性
at at 你们有出现过跑偏吗,负向
比xts指导价便宜点,正向
at 低配会在28左右,中性
4万可以买,中性
松手就跑偏,负向
3万1的裸车,中性
高速经常飘,负向
XTS优惠比较大,正向
低配落地也就23吧?但是停售了,中性
"好多都说松手几秒就跑偏了,不知道真假问问你们买了的车主",负向
"我堂哥买的博瑞也是会跑偏,做个四轮定位就好了",负向
"ct5代替xts,ct4代替ats",中性
"嗯,,我看的就是这样的颜色",中性
我选的就是黑加棕,中性
"at 棕色内饰麽,挺好看的",正向
这车费油是肯定的了,负向
还好吧,正向
黑太容易脏了,负向
雅阁省油表情,正向
油门反映慢,负向
是起步吗,中性
用力一点就冲出去,负向
到80码力气很像2.0的车,正向
后面就有点没力气了,负向
"我不喜欢,主要因为配置太低表情",负向
"对配置没要求,只要空调凉快就行了",中性
我感觉红旗H7不比宝马5系差啊,正向
车身重,负向
"车身太重,但是安全",正向
"车身太重,但是安全",负向
车重高速开着应该特别稳吧?,负向
at at 可以啊...我就是免费换的..,中性
懒得去磨优惠,中性
"其实这家店又偏,又小",负向
看着很大气,正向
可惜不是电子档把,负向
"比如,众泰Z700   和奥迪A6 各方面都很像",中性
送膜记录仪脚垫,正向
"商用就大众,凯美瑞",负向
要跟Hs5一样是电子的哪就很帅,中性
你说了几遍车外观可以了CQ:emoji,正向
不考虑大众了,正向
红旗有技术沉淀,正向
保险5500-5800,中性
"可以的,我优惠了5000",正向
车说贵不贵,正向
众泰给红旗提鞋都不陪,正向
"老百姓也买得起,就是怕养不起",负向
现在4s店售后态度越来越不行了,负向
油这么下去真的养不起,负向
"我堂哥博瑞2.4l 的,经常起步油门踩到底也才10个油",中性
我起步油都18个上去了,中性
"at at 没什么理由啊!!我就说有异响..就去试车,然后就换了...没出钱,还洗了一次车",正向
一个比一个丑,负向
起步油耗高一点,负向
慢慢的就掉下来了,正向
"at at 我上次回访给了五分不满意,感觉态度还可以啊!!事故部经理全场处理...嘿",正向
起步先热车,中性
就换一个儿子店啊!!反正只要是红旗的都可以保养的,正向
因为这边4s店再搬迁  然后就各种理由搪塞,负向
前挡异响最初说的更换集水板 现在说不能换了   只能加胶,中性
打算加个包围,中性
油耗不会太高,正向
我只买得起型动,负向
at 主要是没碰到他们售后经理 以前都碰到 人家态度就好,正向
我黑的棕色坐垫脚垫,中性
"你们贷款的服务费,上牌费,都是多少钱啊",负向
贷款没有服务费,负向
这些维修的都是感觉多一事不如少一事,负向
"我今天去问,贷款服务费4000",中性
现在全都是免服务费,中性
三年六千多利息,中性
为什么那人给我算的服务费4000,负向
说了是服务费吗,中性
两年免息,中性
at 但一汽是老大哥了.各种车型都有,正向
说的是“分期服务费”,中性
要个屁的服务费,负向
问哪些售后什么都不知道,负向
上牌费500,中性
上牌自己去也可以啊,中性
售后服务跟买之前肯定都不一样的了,负向
买之前那个服务到位,负向
给我弄了个专门服务群,负向
"前期好话说尽,什么都说,后期就剩下敷衍了",负向
"at ,那你上牌费交了多少钱",中性
我自己上牌的,中性
因为我是在隔壁市买的会本市上牌,中性
我的优惠两万,中性
分期河南都是差不多两万,中性
全款才优惠一万五六,负向
全款他们没什么赚头,中性
分期销售有赚头,负向
有人买他车就不错了,负向
"at   ,你的利息怎么6610   ?,不是免息吗?",负向
分期他们赚的多,负向
退役军人补贴3000,正向
加起来全款优惠15000,正向
三年不免息啊,中性
"我两年免息,他们能赚啥,还不在他们店上牌",中性
保险回扣,中性
三年不免,中性
0利息 不就是免吗,中性
是不是3年内  所有东西都是免费的  除了易损件,中性
首付6.6两年免息   9.9三年免息,中性
就是三成首付两年免息   五成首付3年免息,中性
说的是两年,中性
"我的后备箱启动自动开是不是第一次出现这种问题啊?一发动就开,搞得我开着门,一只脚在外面,一只脚踩刹车启动,启动完就下车去关后备箱,这操作搞的我快疯了",负向
"我保险是6500,有一千是押金,第二年在他们店买可以抵用",中性
贷款就得在他们那买,中性
制动摩擦   估计就是刹车盘吧,负向
19款特么 毛病也多,中性
CT5代替的是CTS吧,中性
18  后备箱自动开,中性
异响 代码 乱七八糟,负向
"去了,没检测出来",负向
说没毛病,负向
估计那根线并线了,负向
at 你车有毛病没,负向
打火后备箱开?,负向
"检测了一下电脑,没出问题,后备箱也不开,回来就开了",负向
小问题挺多,负向
"表情这个押金我去提车的时候再说,肯定不给的,而且他还写在合同里,硬要我就投诉他",负向
优惠两万,中性
"挡风玻璃异响不严重,我就没修,两侧玻璃升降速度不一致加了润滑油,就那样了",负向
保险6500,中性
左前轮  咯吱咯吱的,负向
表情为了音响,正向
其实灵动就足够了,中性
"我上次去修,还碰到一个车友方向盘转动会响",负向
"at at 很多人年底买,优惠不大",中性
at 音响可以要省下来的钱换个更好的,中性
看自己预算吧,中性
不会变形的,正向
最低还是灵动好点,中性
我彻底不想买红旗了,负向
"听你们这么说,我都不敢买了,改天抽个空再去看看君威去,吓人,净是麻烦事",负向
看自己预算吧,正向
我还是直接盯雅阁吧,负向
配置低点就低点吧,负向
"hs7开车开一半,突然熄火",负向
后排空间可以葛优躺,正向
at 跟我一样为了要音响为了装逼,正向
本田雅阁可以买,正向
"倒车影像自动驻车全景天窗,中控大屏有这些就够了",正向
"配置低,事少",负向
我必须中意座椅通风表情,中性
要不要座椅加热,中性
别提河南优惠,负向
也包含1000押金,负向
我的指导价加了8000落地的,中性
白俄原版底盘,中性
考虑红旗就是因为配置高,正向
结果这么多问题,负向
"挺好看的,省心省油",正向
问题少,正向
分期9.7万,中性
本田雅阁可以的,正向
混动版挺不错的,正向
"我还是有空先去看看别克君威去,看他们优惠力度挺大的",正向
我们指导价加了一万多,中性
"国产车现在也不错了,这几年进步很大",正向
然后那家伙找了n多amt变速箱形式名词,中性
雅阁预算够不,中性
不知道这个毛病哪来的,负向
"够了吧,优惠有两三万吧",正向
at at 君威多少钱,中性
"我一直不喜欢别克,不知道为啥",负向
别克君威便宜的都是小批量,中性
你们加满一箱油跑多少公里,中性
还不如迈锐宝xl,负向
",2.0t智能变缸xl",中性
雅阁豪华落地将近21,中性
迈锐宝xl看着挺不错,正向
我朋友说太贵了,负向
"高速六七个,长期10到11",中性
"加了两次油,跑了700公里",中性
三次有估计也就能跑1000公里,中性
我临时停车就是n,中性
就是油耗为什么那么高,负向
我国庆节看看能提车不,中性
他这个车给我的时候什么保护膜都没有,负向
有的地方还要优惠多一点 ,中性
低配35万左右就拿下了,中性
合资车现在也就那样,负向
能买合资尽量别国产 能进口尽量别合资 真的有差距,负向
接近福克斯的油耗,中性
"我定车,已经,朋友说油耗我承担不起,有多耗油啊",负向
"要提车,最好避开节日",中性
6.6油耗是长期开高速吧,中性
"H5是B级车了,油耗也低不到哪里去",中性
"现在优惠2 2万,我昨天定的",中性
感觉低配够了,正向
"低配是17寸小轮胎哦,加个4,5上次低调吧,灵动版",中性
19寸大轮胎,中性
不给优惠,负向
"14.98万,分期",中性
"分期才17,5",中性
对呀卖不动 ,负向
为啥卖不动那 如果好到一致 为啥会愁卖,负向
不降价绝对卖不动,负向
VV6要是能跑10个油内 绝对选它,中性
大众赢在起点,正向
哦优惠大啊,正向
优惠了1.8万,正向
西安利之星买奔驰!22W买个漏油的!拿了66W回来买红旗,正向
" 因为觉得霸气,有成就感",正向
   没必要加95,正向
我感觉92就行了,中性
我想弄个H5蓝色的 ,正向
我喜欢银色,正向
没啥霸气的.我觉得你们把红旗捧高了,负向
"试一试,同样加300,看92跑的多还是95跑的多",中性
"我这边好多人开白色,黑色,蓝色",中性
我准备改色,中性
 分期,中性
带十万,中性
俩年无息,中性
那加95的好,中性
那98更好,中性
  为什么不加98,中性
不想容易重色,中性
红旗就要提黑色的,中性
98不一定跑的多,中性
蓝色的不是很亮吗,中性
腰线啥看的很不错,正向
"我就加92的,都一样",中性
"我的老景程就是,同样300块,95比92跑的公里数多",中性
 起步有一点,负向
算不算置换补贴?,中性
很给力,正向
这车刚出来不久肯定没什么优惠,负向
"还行,但是车速上到80,胎噪就到了",负向
"噪音很明显啦,",负向
23.5万.两年贷款,负向
"首付多少,",中性
贷款的手续费吗?,负向
"首付13万5,贷款10万,月供4300,供24个月",正向
"上牌费1500,服务费3000,",中性
我朋友买车带了公司律师跑没要服务费,中性
合肥优惠这么大?我就在合肥的,正向
我的大灯有水汽,负向
  是密封不严的问题,负向
19款问题不大,正向
"这个服务费不管你贷款还是全款,都要收.",中性
上牌2000.3000.服务费3000.4000的都有,中性
上牌这么贵,负向
"不管你是全款贷款,服务费都必须要.",中性
全款好像不要,中性
贷款要4-5千,中性
"大众上牌2000,服务费3000",中性
"两年贷款落地23.5万,报价.",中性
"首付13.5万,贷款10万,月供4300,24个月.",中性
"贷款10万,6万块两年免.4万两年3300利息.",中性
"12万5一年免息,6万两年免息",中性
"听你说了胎噪大,有点不想去了,",负向
从配置来看还是红旗合适啊,正向
那就加95,中性
95贵,中性
不是贵95谁都能加的起,中性
"加92吧,宫方都推荐加92",中性
"  不过这个车标的92,为什么加95",中性
多几次都可以加一箱了,中性
一次也快二三十,中性
"官方推荐加92就92,别乱加哦",中性
开的多...一升5毛一箱20三十,中性
加92 的标识的意思是95以上 D83DDE00,中性
加92的标识 是指燃油加的要92或者92以上,中性
"  来回启动,然后比较耗油",负向
毕竟油耗也不低,负向
 18款还是别要了吧,负向
19款能把18款的小毛病改善了好多,正向
肖洒说...18配置没有19好,正向
如果要..直接优惠3.5,正向
而且价格本身就比19便宜,正向
"我没有黑,就是速度一上80,胎噪就大了,试驾员自己也说的",负向
别的问题倒是没有什么,负向
"试乘过程,就这胎噪一个问题,其他我都感觉ok的,",负向
"主要是他们的政策,终身保三大件,道路救援,取送.",正向
"我目前这个价格真的看不到别的喜欢的,",正向
"取送对我来说,没用,25公里以内去送,明显我有点远,",负向
贷款1万可以的,中性
1万免息,中性
"我坐出租车,也没觉得胎噪大",正向
"就是我看中的2138万的,首付估计20万,",正向
贷款1.2万,负向
都可以贷款的.,负向
 油耗我无所谓,中性
不贵..很便宜,正向
不然13万...二手车市场10万就能拿,中性
  加上利息5000,负向
"我今天谈到15.5了,我觉得贵了",负向
我优惠1.8w,中性
自由光都要收回反厂了 还自由光那,负向
适时四驱,中性
全时四驱 费油 不划算 ,负向
价格也就不一样,中性
我感觉灵动没必要考虑...顶配的也不划算,负向
最划算的是..韵动和享动,中性
贷10万,中性
型动全款我这里是14.2到14.3啊,中性
因为里面各个地区的人都有所以价格也不一样,中性
你这毛的优惠都没有啊,中性
优惠2万再说,负向
最低配估计优惠1.5   1.8,中性
    这红旗真的霸气,正向
算下来也不应该超过14.5啊,负向
价位你要到4S去谈,中性
贷款 12.5一年或者贷款6万2年都是免息,中性
"全款,汽车之家价格不准的",中性
因为第一批投适车会有一些小毛病 但不绝对 ,负向
"三大件 终身质保,不是说只修",正向
"汽车之家没有算上牌,服务费…D83DDE05",中性
前提是质量问题,中性
新车首款发布一定不会有优惠的 不过等一等就会有优惠了 ,中性
而不是磨损造成的坏,负向
不然不保修的,中性
办下地....不贷款一个在17.2和18.2,中性
"千万别说保值率什么的,自己开的舒服就行",正向
就现在的20万左右的车 跟你讲只要不出事故 都能开到死 ,正向
"毕竟一汽旗下那么多合资车,再差也是能学到点东西.",正向
国外车中低端汽车 为啥不给配置 ,中性
技术已经不是十年前二十年前的空白期了 ,正向
喷的漆啥的真没必要,负向
"确实,红旗这个配置和价格,买国外车 买不到",正向
"我最担心车机问题,毕竟是电子产品",中性
15.5灵动挺不错额,正向
我觉得吧!你15万提型动没问题,中性
南昌14.5都可以按揭型动落地了.,中性
大概拿下来13.5吧,中性
办下地保险购置税,中性
至于三大件 是没有问题的 ,正向
"这个车的智能语音控制吧,有点不灵敏,哈哈D83DDE04",负向
目前这款车唯一担心的就是电子系统 ,负向
"我也是看网上说这车高速上响声很大,",负向
我也想买红旗又担心有点问题,负向
电子系统还得看日系德系 不过比较贵,中性
"电子系统,红旗那边也会不定时更新的",正向
高速噪音 一般的车都有 ,中性
"就是胎噪上80,有的",负向
小毛病肯定有的,负向
具体多少应该还能再砍几千,中性
毕竟尺寸在哪放着 吨位也高 有点噪音很正常 ,中性
HS5有点像Q5 S7有点像Q7 价钱都少一半,正向
我叫他随便也能砍几千,中性
终身质保前提你一直在店里面保养,中性
终身质保别想了,负向
店里小保免费啊,正向
小几千啊....不能是大几千D83DDE05D83DDE05,中性
我也考虑菲斯塔克 但那个碰撞测试让我放弃了,负向
  我特么如果去店里保养好像就10次免费的,负向
跑30公里保养,中性
3年10万公里免费保养,中性
保养一次来回60公里,中性
不是终身吗,中性
大保按手册来,中性
"四年以后不在4S保养,三大件就不管了么",中性
保养一次1100啊,中性
我这边说的是小保免费...大保手册,中性
四年或10万 但是还会有约定时间去保养 不能超那个时间,中性
首保5000公里 ,中性
" 13号在车展问了,只能优惠1.5w",中性
在乎动力干嘛,中性
开红旗是需要飙车的人吗...帅..稳就完事了,正向
无所谓4年之后脱保了,中性
到了店里面 就做免费的 ,中性
就做免费的...实在要换就按保养手册的内容换,中性
"如果想挑剔没毛病的,买50万以上的车吧",正向
顶配的有降噪玻璃 ,正向
换来换去不就是机油和滤清器.时间长点换那些咯,中性
中间在搞个国徽,中性
必须帅,正向
2万优惠,中性
话说那款性价比稍微高点,正向
高配的有点贵,负向
9.9万2年免息,中性
 你啥配置,中性
6.6万3年免息,中性
可以的 可以弄一个9.9万2年无息的,中性
已经优惠2万加免息了,正向
但是手续费要4000,中性
手续费4000利息也够了D83DDE28,中性
"车确实不错,除了胎噪,就是价格了,不能优惠,有点难受D83DDE05",负向
优惠了你才难受尼 ,中性
"红旗也有好车啊,红旗L5,这车你吐不出毛病",正向
优惠车 市场大多数波动大 ,负向
这车给你开十年足以了 十年后就是新能源主场 ,中性
对得起这个价位 ,正向
我其实选择红旗因为他是国标,正向
我这准备把途观卖了 买他,正向
"车毕竟是个大件,买东西吧,也要跟着国家政策走D83DDE0E",正向
"途观不是还可以吗,",正向
D83DDE02我感觉最多我买个灵动,正向
   太贵就不划算了,负向
4000.贷款9.9相对于2%的利息,中性
人民币贬值还6%呢...,中性
贷款6.6,中性
贷款2年..首付(首付.手续费.购置税保险)8.5,中性
贷款9.9万,中性
我看那个车没有倒车雷达 ,中性
估计还能小刀,中性
我感觉蓝色好看,中性
稳重点的就黑色,中性
搞工程或者政务相关就黑色,中性
年轻就蓝色,中性
我比较喜欢黑色 比较沉稳D83DDE02,中性
销售都说蓝色不耐看啊,中性
"现在国家不是大力发展内需吗,支持一下",正向
" 黑色尾巴有点不太适应,看着总有点那啥",负向
.....你觉得你的意思不是沉稳,负向
跟着国家政策走没错的 ,中性
"是啊,不走国家发展全让外国赚了不少",中性
现在的形势就是想把融资车 弄倒二线 ,中性
"养车难呀,D83DDE2DD83DDE2D",中性
没看各大车企都在疯狂降价 ,中性
有的降价都卖不动 ,中性
踏板这么水啊,负向
看车实惠不实惠就看他的配置 有没有选配 ,中性
蓝色侧面看挺不错,正向
反正我觉得除了黑白的 别的颜色不耐看,中性
我今天试乘的车就是有踏板,中性
"我一脚上去,算稳,但是时间长了,我感觉会掉下来…",负向
我喜欢金和银,正向
我没见白色实车,中性
什么颜色都好...别白色,负向
红旗千万别白色,中性
销售为啥说蓝色,中性
金色似乎不好卖,负向
估计是白色黑色有现车,正向
银灰都好,正向
金色太张扬了,负向
蓝色车好卖D83DDE02,中性
别个看到红旗两字就觉得一般人不敢驾驭啊,正向
所以不建议你蓝色,负向
红旗就不是那种张扬的车,中性
那我要定金色的,正向
蓝色活跃,正向
反正红旗一般人选的少,负向
一般人真不会选,负向
能开hs7和h7的才够装,负向
我选金色应该没什么问题,中性
哈哈 我没说不能张扬 只是黑色看着稳重一点,中性
"红旗也有选配,但是没有必要,玻璃,车衣,踏板啥的",中性
其他的该有的都有了,中性
反正能给你升级的花钱的 都给你来上那么一下 ,中性
hs7今天问的..落地价大概在35到40,中性
"     H5有没有买过的,油耗高不高?",负向
开出去绝对狂,正向
平均下来一公里七八毛是要的,中性
没有白色?,负向
白色?你觉得好看吧,中性
白色的都卖不动,中性
感觉白色还可以啊,正向
直接买了红旗然后贴紫色的膜,中性
白色的你不记得哪里不对吗,中性
线条不明显,负向
紫膜?怎么不贴渐变....,中性
保证帅的一批2019不再低调,正向
VV7更倾向于年轻化 ,正向
油耗略高一点 ,负向
不过对于年轻人来说 什么油耗那都不是事,中性
红旗更倾向于稳住 ,正向
改装完就跟战车似的 很符合年轻人口味 ,正向
充满了野性 ,正向
 我在车展问了优惠1.5w,中性
"我也不知道优惠多少,直接谈的落地价",负向
我谈得全保,中性
 我问了灵动版贷款都16.8w,中性
这个价格可以,正向
这车我就怕油耗,负向
没贷款就划不来,中性
再装个话筒,中性
贷款有手续费啊,中性
3年贷款厂家贴息8000,中性
销售总要吃一点啊,负向
正常...他谈的是综合优惠,中性
1万的利息,中性
还可以在砍一两千,中性
除非你不要礼包,中性
"送车膜,脚垫,尾箱垫,记录仪",中性
___独醉 你说的这个价格有点16.5万就能办下来,中性
其实17到17.5算正常价格,中性
独醉...你这价格没问题,中性
购置税吃了,中性
 这边保险都要我8600,中性
但是购置税不对啊,负向
独醉...你这价格没问题,正向
 正常价,正向
"裸车17.18万,算上购置税,保险,17.5,我想都不敢想",中性
"购置税,都是自己跟着去买是多少就是多少",中性
优惠到2.3万左右,中性
" 黑色我觉得显小,白色显车大一点",中性
 我现在的车是灰色的 这次我打算尝试个蓝色 ,中性
" 我也想买红旗,销售给我优惠1.5w",中性
___独醉 你还没加购置税吧,中性
" 还没谈,直接便宜1.3万",中性
玛德...我的购置税就1.4万了...感觉贼亏,负向
韵动贷款封顶17.5不能再高咯,中性
也就是装个倒车.360记录仪,中性
 那款15.48的优惠完了贷款下来都要16.8万,中性
 哪油耗还是可以接受哦,正向
 地区不懂 我还没去咨询 应该没有啥优惠,负向
" 你四区顶配,还是四驱入门级的",中性
韵动优惠2万,中性
"没有优惠,赠送的贴膜大包围脚垫",正向
韵动优惠2万咋样,中性
D83DDE00我具体价格就16.74 韵动,中性
贷款三年,中性
好像老手拉新手买车送保养吧,中性
保险...全险就行..坎不了的,中性
保险我自己挑,中性
还不如让他送张油卡,中性
保险本来就可以自己挑,中性
你们的韵动优惠多少,中性
油卡必须送,中性
我保险才5600,中性
在要张油卡,中性
 !!!保险5600?,中性
 你这油耗很低,正向
2.0的排量,中性
我一箱油加了435圆,中性
怎么也得10个油,中性
我这等了2个月2天,中性
....24期...可以贷9.9的,中性
可以多贷2万,中性
我只希望油耗别上15..,中性
动力可以说只要给油那是很给力,正向
红旗HS5竟然比我别克昂科威省油,正向
2块屏幕,中性
他给我说全险,中性
全险100,中性
你们买的哪些险种,中性
所有险 贷款的不都是一样的吗,中性
你们的保险多少钱,中性
我也感觉保险贵了,负向
加起来就那几个险,中性
 你问了红旗能优惠多少吗?,中性
基本都能1.8到2万以上,中性
最多也就是去试驾体验一下,中性
"我妹夫卖车的他懂车,他都说这变速箱调教的真好",正向
"蓝翔技校汽修部,指定用车红旗",负向
"我本来看群里心思这车油耗应该在12个左右,没想到真给力",正向
 我看到市区14个点都有,中性
 车速快  红旗不省油,负向
我最开始看的别的车  看一眼红旗  别的车我看不上了,正向
今天晚上我在市区跑的是9.9油耗,中性
我感觉平均下来应该在七毛往上走,中性
一公里才6毛多,中性
六毛不可能( ),中性
"我是南昌的,我问了灵动版优惠1.5w..",中性
是不是所有车型都可以优惠1.8_2万,中性
"现在买红旗的好多,我提车的4S店  一周卖了差不多20辆",中性
我们这边优惠2万,中性
能优惠2万5左右,中性
赠品估计可以谈2000,中性
等我资金解开我就贷款买D83DDE02,中性
我感觉只要超不过11到12个这车就是好车,正向
是的  不过12都完美,正向
相当给力,正向
"今天这车我算是领教了,只是有些功能不会还得慢慢学",正向
  综合再优惠你2000有何不可,中性
"我加满油50升,现在跑了150公里  下去一个格",中性
" 现在好多店都是问你确定买才给出优惠,",中性
销售准备给我个礼包,中性
有的店会给优惠,中性
哈佛给我优惠1.8.现在估计2,中性
然后我赠品里多要了个车模,中性
hrhh...有些地区和店子就是优惠力度:不高,负向
"你要是再开启发动机启停功能,更省",中性
但是我觉得轿车没有SUV霸气  红旗,正向
轿车不好看,负向
还是Suy好看,正向
回头率超高,正向
霸气( ),正向
我选的白  不想经常洗车,中性
君威掉的价格太猛了,中性
"黑色跟蓝色不太想要,白色拿不准",中性
管你买不买先把茶水倒好唠上个50分钟的,中性
没卵用...你只是逛...他优惠给你也不会大,中性
"灵动的,我心里价位也是15万",中性
为了省油,中性
红旗上个月销量和这个月一样  说明产能瓶颈了,负向
 最低配那个感觉配置少的也多,负向
"大家在一起聊也就想得到真实的价位,好个底咯,",中性
"我的是灵动的,我觉得配置够了",正向
低配可能优惠还少个一两千,中性
不知道为啥成都的优惠那么少  看其他地方都两万两万的...,中性
灵动版足够了,正向
"我买的贵了,,还是没干过4s店的人",负向
送的全车膜  脚垫  和倒车影像,中性
倒车.360行车记录仪.就行了,中性
看便宜多少...便宜下来过5000才去外地,中性
配置不要太多,中性
好多配置都没用,正向
"像什么真皮座椅,加热功能",中性
"倒车影像,车膜和脚垫,还吗很实用的",正向
只要三大件够硬就行,中性
"有导航和行车记录仪就行,其他都不要",中性
"再看吧,也不是非红旗不可",负向
"日韩车我个人不想选,身边的朋友一直给我推荐丰田和现代",中性
看看提车的时候叫他送个360全景影像,中性
红旗有个毛病60-100公里加速线性效率不强,负向
0-60的加速能力非常好,正向
高速超车都是100上下,中性
0-60   时间5.1秒,中性
"H5是一个家用型的,要运动,去买思域好了",中性
0-100要11秒,中性
我觉得再有两年红旗的市场就大了,正向
感觉现在买红旗不太理智呀,正向
万一后期出2.0T双离合,中性
行车记录仪可以喊他送,中性
"更强动力,更平顺的换挡",正向
更好的价格,正向
更少的优惠,负向
更高的价格,负向
"建国只有购置税.保险,1000块钱跑腿费",中性
感觉各家都一样  说的优惠挺大似的  算下来都差不多,负向
"  有也无所谓,价格不让自己满意.我还是不会买",负向
感觉有点贵而已,负向
价格必须满意,正向
"据说悄悄给销售发500红包,优惠1.8是稳稳的",负向
变速箱各有各的好,中性
"不要老想这用野马的钱,刷出911的动力",中性
双离合换挡快  ,正向
现金优惠3.3送一堆东西,正向
听说红旗车不保值呀,负向
"大品牌车都是便宜的车型啊,红旗有点高不成低不就的啊,你这么定位价格怎么能打开市场,只有销量高了,名气才能更响亮啊.因为你毕竟不是奔驰,宝马啊.",负向
油耗是关键,中性
红旗车突出的是车标,正向
"花了几十万块钱,居然连个备胎,是非尺寸的!是最大的败笔!我也是无语了!",负向
"为什么,汉兰达!就是全尺寸的备胎,",中性
"如果有全尺寸的备胎,我不会考虑其他的车!",中性
风战轮霸快捷补胎,中性
现在都已经联系好了只是颜色不能统一也没关系4黑4白Text,中性
打车来Text,中性
盛瑞第三代8AT中国车不再用外国变速箱Sharing,中性
从上面介绍来看第三代8AT相当于红旗HS5上20T发动机阶段Text,中性
奔腾T99这个变速箱传动效率94Text,中性
长城在研发三离合了Text,中性
13个油,中性
现在普遍就是优惠个购置税,中性
"看个人喜好,喜欢红旗的也不少",正向
我就没有低九个的除非高速,中性
一个月1000油费,中性
你贷款多少,中性
我就打算贷八万,中性
"我去看迈锐宝XL视频,真是不错,就是内饰不怎么样",负向
看看保养手册,中性
星越不好看,负向
颜值都不错,正向
SUV都霸气,正向
